id,time,latitude,longitude,depth,magnitude,place,type,julian_date,moon_ra,moon_dec,moon_distance_au,moon_altitude,A_norm,tau_raw,sigma_raw,strike1,dip1,rake1,strike2,dip2,rake2,final_cfs_optimal
usp0009sbh,2000-05-04 04:21:16.210000+00:00,-1.105,123.573,26.0,7.6,"89 km E of Luwuk, Indonesia",earthquake,2451668.681437616,43.1053,11.46205,0.00245103707027,74.78826732834138,0.9440258333529356,0.247699901661031,0.9109497970551506,226.0,87.0,190.0,136.0,79.0,-2.0,0.9137438364589907
usp0009txv,2000-06-04 16:28:26.170000+00:00,-4.721,102.087,33.0,7.9,"103 km S of Bengkulu, Indonesia",earthquake,2451700.186414005,106.17574,21.68254,0.0024079798646,-45.259174089891516,0.912011289617261,0.6419656605211063,-0.6477998788985988,331.0,4.0,94.0,146.0,85.0,89.0,0.31881237651544825
usp0009ut0,2000-06-18 14:44:13.310000+00:00,-13.802,97.453,10.0,7.9,South Indian Ocean,earthquake,2451714.11404294,287.1388,-21.69652,0.00271459534024,30.47955884947777,0.6767919684440212,0.5832662066039538,0.34328982039111927,345.0,87.0,12.0,254.0,77.0,177.0,0.2692601828840188
usp000a18v,2000-10-04 16:58:44.310000+00:00,-15.421,166.91,23.0,7.0,"29 km WNW of Luganville, Vanuatu",earthquake,2451822.207457292,273.88643,-21.88481,0.00269114323626,-49.064519925562486,0.6544092097188691,0.4287746376495431,-0.49437205005276924,328.0,38.0,84.0,155.0,51.0,94.0,-0.22790700744228254
usp000a2mw,2000-10-29 08:37:08.770000+00:00,-4.766,153.945,50.0,7.0,"191 km ESE of Kokopo, Papua New Guinea",earthquake,2451846.859129282,239.1505,-16.60648,0.00262428067836,8.037888444294373,0.7364255647081324,0.7291907874832142,0.10297284984548906,322.0,61.0,93.0,135.0,28.0,84.0,0.5916141918175197
usp000a3qq,2000-11-16 04:54:56.740000+00:00,-3.98,152.169,33.0,8.0,2000 New Ireland Earthquake,earthquake,2451864.7048233794,113.83426,22.10718,0.0024520681438,-68.63093552609458,0.8544127295404289,0.3113258088649927,-0.7956741500986972,147.0,68.0,6.0,54.0,83.0,158.0,-0.8557999432971508
usp000a3sp,2000-11-16 07:42:16.930000+00:00,-5.233,153.102,30.0,7.8,"135 km SE of Kokopo, Papua New Guinea",earthquake,2451864.821029282,115.63683,21.97636,0.0024530696941,-58.09619519502517,0.8570206350823779,0.45293087259213316,-0.7275561790060828,253.0,15.0,93.0,70.0,75.0,89.0,-0.0788047438763742
usp000a45f,2000-11-17 21:01:56.490000+00:00,-5.496,151.781,33.0,7.8,"138 km SSW of Kokopo, Papua New Guinea",earthquake,2451866.376348264,139.06202,18.48041,0.00247279069525,54.75501298402728,0.9118865455375431,0.5262257768690008,0.74473049064142,242.0,26.0,74.0,79.0,64.0,97.0,0.974907808014255
usp000a5m7,2000-12-06 17:11:06.400000+00:00,39.566,54.799,30.0,7.0,"37 km E of Balkanabat, Turkmenistan",earthquake,2451885.2160462965,15.22047,0.83892,0.00258296582216,48.84852597914048,0.7961882688926653,0.5239332628919637,0.5995078778111923,321.0,37.0,132.0,92.0,62.0,62.0,0.8446155044195063
usp000a70h,2001-01-01 06:57:04.170000+00:00,6.898,126.579,33.0,7.5,"21 km SE of Lukatan, Philippines",earthquake,2451910.789631597,354.78096,-7.56461,0.00267200580219,62.511090229798896,0.7228695115467585,0.3336598782634743,0.6412576832764288,170.0,46.0,56.0,33.0,52.0,119.0,0.7752378760149646
usp000a7m5,2001-01-13 17:33:32.380000+00:00,13.049,-88.66,60.0,7.7,"28 km SSW of Puerto El Triunfo, El Salvador",earthquake,2451923.2316247686,170.62464,9.14182,0.00245279804932,-24.84896233954267,0.8766511991337146,0.7954896937938263,-0.36839309441191226,306.0,55.0,272.0,122.0,34.0,-93.0,0.15339047733625016
usp000a8ds,2001-01-26 03:16:40.500000+00:00,23.419,70.232,16.0,7.7,"17 km NW of Bhach?u, India",earthquake,2451935.636579861,326.83101,-16.7736,0.00271389353823,-0.41760524553255324,0.661152966875047,0.6611354055751917,-0.004818827928423835,74.0,50.0,64.0,290.0,45.0,117.0,0.27572560087105846
usp000a9kc,2001-02-13 19:28:30.260000+00:00,-4.68,102.562,36.0,7.4,"102 km SSE of Bengkulu, Indonesia",earthquake,2451954.3114613425,218.40307,-10.1036,0.00255819531466,49.5395038333479,0.8200859117661523,0.5321731148153104,0.6239652863301707,308.0,13.0,93.0,124.0,76.0,89.0,0.8541992786711394
usp000aa8b,2001-02-24 07:23:48.730000+00:00,1.271,126.249,35.0,7.1,"137 km WNW of Ternate, Indonesia",earthquake,2451964.808202893,349.1961,-9.54516,0.00269028401774,45.94361750888019,0.7023979560862872,0.4884235922328128,0.5047824118019455,195.0,46.0,77.0,32.0,44.0,102.0,0.7115228739944998
official20010623203314130_33,2001-06-23 20:33:14.130000+00:00,-16.265,-73.641,33.0,8.4,"6 km SSW of Atico, Peru",earthquake,2452084.356413542,127.6692,21.53392,0.00242760231914,47.15861234829286,0.9603656658682015,0.6530209340453035,0.7041774434594403,155.0,74.0,95.0,315.0,16.0,70.0,1.020582355079923
usp000aj40,2001-07-07 09:38:43.520000+00:00,-17.543,-72.077,33.0,7.6,"51 km SW of Punta de Bombón, Peru",earthquake,2452097.9018925927,308.02184,-21.47317,0.00269859067424,42.2468376530685,0.6943221859171567,0.5139756339757032,0.4668108241419136,159.0,76.0,94.0,319.0,14.0,70.0,0.7430811557118082
usp000amsn,2001-08-21 06:52:06.250000+00:00,-36.813,-179.575,33.0,7.1,"295 km NE of Gisborne, New Zealand",earthquake,2452142.786183449,181.1867,5.01792,0.00241404840366,10.268498323100037,0.9486694207355678,0.9334747686623736,0.16911098754807766,189.0,82.0,80.0,63.0,12.0,143.0,0.9367703323654533
usp000aqsu,2001-10-12 15:02:16.840000+00:00,12.686,144.98,37.0,7.0,"69 km SSE of Inarajan Village, Guam",earthquake,2452195.1265837965,145.21805,18.07488,0.00244386913149,-18.443361262171216,0.8909527654864563,0.8451906318620938,-0.2818681006082793,132.0,31.0,39.0,7.0,70.0,114.0,0.30853157860862385
usp000ar78,2001-10-19 03:28:44.460000+00:00,-4.102,123.907,33.0,7.5,"155 km E of Kendari, Indonesia",earthquake,2452201.644959028,235.29522,-16.84235,0.00250497503306,56.00277368648492,0.8772434823566159,0.49051312236839006,0.7272915537262722,88.0,74.0,352.0,180.0,82.0,-164.0,0.7259041503754178
